"year"	"category"	"n"
"1820"	"Cement"	0
"1821"	"Cement"	0
"1822"	"Cement"	0
"1823"	"Cement"	0
"1824"	"Cement"	0
"1825"	"Cement"	0
"1826"	"Cement"	0
"1827"	"Cement"	0
"1828"	"Cement"	0
"1829"	"Cement"	0
"1830"	"Cement"	0
"1831"	"Cement"	0
"1832"	"Cement"	0
"1833"	"Cement"	0
"1834"	"Cement"	0
"1835"	"Cement"	0
"1836"	"Cement"	0
"1837"	"Cement"	0
"1838"	"Cement"	0
"1839"	"Cement"	0
"1840"	"Cement"	0
"1841"	"Cement"	0
"1842"	"Cement"	0
"1843"	"Cement"	0
"1844"	"Cement"	0
"1845"	"Cement"	0
"1846"	"Cement"	0
"1847"	"Cement"	0
"1848"	"Cement"	0
"1849"	"Cement"	0
"1850"	"Cement"	0
"1851"	"Cement"	0
"1852"	"Cement"	0
"1853"	"Cement"	0
"1854"	"Cement"	0
"1855"	"Cement"	0
"1856"	"Cement"	0
"1857"	"Cement"	0
"1858"	"Cement"	0
"1859"	"Cement"	0
"1860"	"Cement"	0
"1861"	"Cement"	0
"1862"	"Cement"	0
"1863"	"Cement"	0
"1864"	"Cement"	0
"1865"	"Cement"	0
"1866"	"Cement"	0
"1867"	"Cement"	0
"1868"	"Cement"	0
"1869"	"Cement"	0
"1870"	"Cement"	0
"1871"	"Cement"	0
"1872"	"Cement"	0
"1873"	"Cement"	0
"1874"	"Cement"	0
"1875"	"Cement"	0
"1876"	"Cement"	0
"1877"	"Cement"	0
"1878"	"Cement"	0
"1879"	"Cement"	0
"1880"	"Cement"	0
"1881"	"Cement"	0
"1882"	"Cement"	0
"1883"	"Cement"	0
"1884"	"Cement"	0
"1885"	"Cement"	0
"1886"	"Cement"	0
"1887"	"Cement"	0
"1888"	"Cement"	0
"1889"	"Cement"	0
"1890"	"Cement"	0
"1891"	"Cement"	0
"1892"	"Cement"	0
"1893"	"Cement"	0
"1894"	"Cement"	0
"1895"	"Cement"	0
"1896"	"Cement"	0
"1897"	"Cement"	0
"1898"	"Cement"	0
"1899"	"Cement"	0
"1900"	"Cement"	0
"1901"	"Cement"	0
"1902"	"Cement"	0
"1903"	"Cement"	0
"1904"	"Cement"	0
"1905"	"Cement"	0
"1906"	"Cement"	0
"1907"	"Cement"	0
"1908"	"Cement"	0
"1909"	"Cement"	0
"1910"	"Cement"	0
"1911"	"Cement"	0
"1912"	"Cement"	0
"1913"	"Cement"	0
"1914"	"Cement"	0
"1915"	"Cement"	0
"1916"	"Cement"	0
"1917"	"Cement"	0
"1918"	"Cement"	0
"1919"	"Cement"	0
"1920"	"Cement"	0
"1921"	"Cement"	0
"1922"	"Cement"	0
"1923"	"Cement"	0
"1924"	"Cement"	0
"1925"	"Cement"	0
"1926"	"Cement"	0
"1927"	"Cement"	0
"1928"	"Cement"	36640000
"1929"	"Cement"	36640000
"1930"	"Cement"	36640000
"1931"	"Cement"	29312000
"1932"	"Cement"	25648000
"1933"	"Cement"	25648000
"1934"	"Cement"	29312000
"1935"	"Cement"	32976000
"1936"	"Cement"	40304000
"1937"	"Cement"	40304000
"1938"	"Cement"	43968000
"1939"	"Cement"	47632000
"1940"	"Cement"	40304000
"1941"	"Cement"	43968000
"1942"	"Cement"	40304000
"1943"	"Cement"	36640000
"1944"	"Cement"	25648000
"1945"	"Cement"	25648000
"1946"	"Cement"	36640000
"1947"	"Cement"	43968000
"1948"	"Cement"	51296000
"1949"	"Cement"	58624000
"1950"	"Cement"	65952000
"1951"	"Cement"	73280000
"1952"	"Cement"	80608000
"1953"	"Cement"	87936000
"1954"	"Cement"	98928000
"1955"	"Cement"	109920000
"1956"	"Cement"	117248000
"1957"	"Cement"	124576000
"1958"	"Cement"	131904000
"1959"	"Cement"	146560000
"1960"	"Cement"	157552000
"1961"	"Cement"	164880000
"1962"	"Cement"	179536000
"1963"	"Cement"	186864000
"1964"	"Cement"	208848000
"1965"	"Cement"	216176000
"1966"	"Cement"	230832000
"1967"	"Cement"	238160000
"1968"	"Cement"	256480000
"1969"	"Cement"	271136000
"1970"	"Cement"	285792000
"1971"	"Cement"	307776000
"1972"	"Cement"	326096000
"1973"	"Cement"	348080000
"1974"	"Cement"	351744000
"1975"	"Cement"	348080000
"1976"	"Cement"	377392000
"1977"	"Cement"	395712000
"1978"	"Cement"	425024000
"1979"	"Cement"	436016000
"1980"	"Cement"	439680000
"1981"	"Cement"	443344000
"1982"	"Cement"	443344000
"1983"	"Cement"	458000000
"1984"	"Cement"	468992000
"1985"	"Cement"	479984000
"1986"	"Cement"	501968000
"1987"	"Cement"	523952000
"1988"	"Cement"	556928000
"1989"	"Cement"	571584000
"1990"	"Cement"	575248000
"1991"	"Cement"	589904000
"1992"	"Cement"	611888000
