"year"	"category"	"n"
1840	"Africa cement"	0
1841	"Africa cement"	0
1842	"Africa cement"	0
1843	"Africa cement"	0
1844	"Africa cement"	0
1845	"Africa cement"	0
1846	"Africa cement"	0
1847	"Africa cement"	0
1848	"Africa cement"	0
1849	"Africa cement"	0
1850	"Africa cement"	0
1851	"Africa cement"	0
1852	"Africa cement"	0
1853	"Africa cement"	0
1854	"Africa cement"	0
1855	"Africa cement"	0
1856	"Africa cement"	0
1857	"Africa cement"	0
1858	"Africa cement"	0
1859	"Africa cement"	0
1860	"Africa cement"	0
1861	"Africa cement"	0
1862	"Africa cement"	0
1863	"Africa cement"	0
1864	"Africa cement"	0
1865	"Africa cement"	0
1866	"Africa cement"	0
1867	"Africa cement"	0
1868	"Africa cement"	0
1869	"Africa cement"	0
1870	"Africa cement"	0
1871	"Africa cement"	0
1872	"Africa cement"	0
1873	"Africa cement"	0
1874	"Africa cement"	0
1875	"Africa cement"	0
1876	"Africa cement"	0
1877	"Africa cement"	0
1878	"Africa cement"	0
1879	"Africa cement"	0
1880	"Africa cement"	0
1881	"Africa cement"	0
1882	"Africa cement"	0
1883	"Africa cement"	0
1884	"Africa cement"	0
1885	"Africa cement"	0
1886	"Africa cement"	0
1887	"Africa cement"	0
1888	"Africa cement"	0
1889	"Africa cement"	0
1890	"Africa cement"	0
1891	"Africa cement"	0
1892	"Africa cement"	0
1893	"Africa cement"	0
1894	"Africa cement"	0
1895	"Africa cement"	0
1896	"Africa cement"	0
1897	"Africa cement"	0
1898	"Africa cement"	0
1899	"Africa cement"	0
1900	"Africa cement"	0
1901	"Africa cement"	0
1902	"Africa cement"	0
1903	"Africa cement"	0
1904	"Africa cement"	0
1905	"Africa cement"	0
1906	"Africa cement"	0
1907	"Africa cement"	0
1908	"Africa cement"	0
1909	"Africa cement"	0
1910	"Africa cement"	0
1911	"Africa cement"	0
1912	"Africa cement"	0
1913	"Africa cement"	0
1914	"Africa cement"	0
1915	"Africa cement"	0
1916	"Africa cement"	0
1917	"Africa cement"	0
1918	"Africa cement"	0
1919	"Africa cement"	0
1920	"Africa cement"	0
1921	"Africa cement"	0
1922	"Africa cement"	0
1923	"Africa cement"	0
1924	"Africa cement"	0
1925	"Africa cement"	0
1926	"Africa cement"	0
1927	"Africa cement"	0
1928	"Africa cement"	128240
1929	"Africa cement"	370064
1930	"Africa cement"	263808
1931	"Africa cement"	271136
1932	"Africa cement"	439680
1933	"Africa cement"	472656
1934	"Africa cement"	538608
1935	"Africa cement"	608224
1936	"Africa cement"	692496
1937	"Africa cement"	732800
1938	"Africa cement"	762112
1939	"Africa cement"	736464
1940	"Africa cement"	659520
1941	"Africa cement"	725472
1942	"Africa cement"	776768
1943	"Africa cement"	813408
1944	"Africa cement"	974624
1945	"Africa cement"	948976
1946	"Africa cement"	1154160
1947	"Africa cement"	1289728
1948	"Africa cement"	1432624
1949	"Africa cement"	1568192
1950	"Africa cement"	2059168
1951	"Africa cement"	2311984
1952	"Africa cement"	2385264
1953	"Africa cement"	2685712
1954	"Africa cement"	3103408
1955	"Africa cement"	3499120
1956	"Africa cement"	3616368
1957	"Africa cement"	3784912
1958	"Africa cement"	4019408
1959	"Africa cement"	4220928
1960	"Africa cement"	4433440
1961	"Africa cement"	4334512
1962	"Africa cement"	4495728
1963	"Africa cement"	4836480
1964	"Africa cement"	5360432
1965	"Africa cement"	5737824
1966	"Africa cement"	5943008
1967	"Africa cement"	6140864
1968	"Africa cement"	7100832
1969	"Africa cement"	8174384
1970	"Africa cement"	8877872
1971	"Africa cement"	9577696
1972	"Africa cement"	10152944
1973	"Africa cement"	10761168
1974	"Africa cement"	11233824
1975	"Africa cement"	11068944
1976	"Africa cement"	11395040
1977	"Africa cement"	12219440
1978	"Africa cement"	12966896
1979	"Africa cement"	13963504
1980	"Africa cement"	15887104
1981	"Africa cement"	17272096
1982	"Africa cement"	18451904
1983	"Africa cement"	20100704
1984	"Africa cement"	20884800
1985	"Africa cement"	20778544
1986	"Africa cement"	19917504
1987	"Africa cement"	21690880
1988	"Africa cement"	23552192
1989	"Africa cement"	24592768
1990	"Africa cement"	24959168
1991	"Africa cement"	26761856
1992	"Africa cement"	27458016
1993	"Africa cement"	27263824
1994	"Africa cement"	28714768
1995	"Africa cement"	30704320
1996	"Africa cement"	31470096
1997	"Africa cement"	32521664
1998	"Africa cement"	33313088
1999	"Africa cement"	34320688
2000	"Africa cement"	36119712
2001	"Africa cement"	38274144
2002	"Africa cement"	40630096
2003	"Africa cement"	40956192
2004	"Africa cement"	45147808
2005	"Africa cement"	49409040
2006	"Africa cement"	55128544
2007	"Africa cement"	60452336
2008	"Africa cement"	65420720
2009	"Africa cement"	70323152
2010	"Africa cement"	71741120
2011	"Africa cement"	72591168
2012	"Africa cement"	82011312
2013	"Africa cement"	84063152
2014	"Africa cement"	86583984
1840	"Asia cement"	0
1841	"Asia cement"	0
1842	"Asia cement"	0
1843	"Asia cement"	0
1844	"Asia cement"	0
1845	"Asia cement"	0
1846	"Asia cement"	0
1847	"Asia cement"	0
1848	"Asia cement"	0
1849	"Asia cement"	0
1850	"Asia cement"	0
1851	"Asia cement"	0
1852	"Asia cement"	0
1853	"Asia cement"	0
1854	"Asia cement"	0
1855	"Asia cement"	0
1856	"Asia cement"	0
1857	"Asia cement"	0
1858	"Asia cement"	0
1859	"Asia cement"	0
1860	"Asia cement"	0
1861	"Asia cement"	0
1862	"Asia cement"	0
1863	"Asia cement"	0
1864	"Asia cement"	0
1865	"Asia cement"	0
1866	"Asia cement"	0
1867	"Asia cement"	0
1868	"Asia cement"	0
1869	"Asia cement"	0
1870	"Asia cement"	0
1871	"Asia cement"	0
1872	"Asia cement"	0
1873	"Asia cement"	0
1874	"Asia cement"	0
1875	"Asia cement"	0
1876	"Asia cement"	0
