year	category	n
1951	Africa oil	26116992
1952	Africa oil	28623168
1953	Africa oil	30304944
1954	Africa oil	32715856
1955	Africa oil	34302368
1956	Africa oil	35991472
1957	Africa oil	38618560
1958	Africa oil	41571744
1959	Africa oil	41982112
1960	Africa oil	48650592
1961	Africa oil	52270624
1962	Africa oil	54538640
1963	Africa oil	60591568
1964	Africa oil	69495088
1965	Africa oil	76137920
1966	Africa oil	84019184
1967	Africa oil	81117296
1968	Africa oil	86038048
1969	Africa oil	93838704
1970	Africa oil	98506640
1971	Africa oil	115394016
1972	Africa oil	119490368
1973	Africa oil	128434192
1974	Africa oil	134347888
1975	Africa oil	143984208
1976	Africa oil	151066720
1977	Africa oil	159999552
1978	Africa oil	165876608
1979	Africa oil	181782032
1980	Africa oil	198533840
1981	Africa oil	214146144
1982	Africa oil	236393952
1983	Africa oil	244077360
1984	Africa oil	251654512
1985	Africa oil	252614480
1986	Africa oil	255193936
1987	Africa oil	245612576
1988	Africa oil	263577168
1989	Africa oil	269736352
1990	Africa oil	243216320
1991	Africa oil	257267760
1992	Africa oil	259180368
1993	Africa oil	262987264
1994	Africa oil	257370352
1995	Africa oil	276393840
1996	Africa oil	281787248
1997	Africa oil	306193152
1998	Africa oil	316335104
1999	Africa oil	295025280
2000	Africa oil	314404176
2001	Africa oil	298070064
2002	Africa oil	287869488
2003	Africa oil	328986896
2004	Africa oil	354840080
2005	Africa oil	336219632
2006	Africa oil	370573296
2007	Africa oil	381250192
2008	Africa oil	407729920
2009	Africa oil	438111808
2010	Africa oil	432634128
2011	Africa oil	432645120
2012	Africa oil	436741472
2013	Africa oil	459564528
2014	Africa oil	450503456
1951	Asia oil	32693872
1952	Asia oil	38252160
1953	Asia oil	41590064
1954	Asia oil	50094208
1955	Asia oil	64120000
1956	Asia oil	70257200
1957	Asia oil	70290176
1958	Asia oil	78852944
1959	Asia oil	88884976
1960	Asia oil	93695808
1961	Asia oil	103434720
1962	Asia oil	108956368
1963	Asia oil	119252208
1964	Asia oil	131596224
1965	Asia oil	149084496
1966	Asia oil	176414272
1967	Asia oil	192792352
1968	Asia oil	232169360
1969	Asia oil	271714912
1970	Asia oil	337831792
1971	Asia oil	380191296
1972	Asia oil	418128352
1973	Asia oil	463954000
1974	Asia oil	481951568
1975	Asia oil	520079152
1976	Asia oil	590164144
1977	Asia oil	640932528
1978	Asia oil	709969616
1979	Asia oil	737456944
1980	Asia oil	738530496
1981	Asia oil	720859024
1982	Asia oil	728850208
1983	Asia oil	761683312
1984	Asia oil	760983488
1985	Asia oil	790398080
1986	Asia oil	829972944
1987	Asia oil	864564768
1988	Asia oil	946242656
1989	Asia oil	1013063024
1990	Asia oil	1021464576
1991	Asia oil	1100240576
1992	Asia oil	1218891888
1993	Asia oil	1308333792
1994	Asia oil	1358395024
1995	Asia oil	1459473792
1996	Asia oil	1589413888
1997	Asia oil	1689111328
1998	Asia oil	1595305600
1999	Asia oil	1675356672
2000	Asia oil	1807682032
2001	Asia oil	1800152512
2002	Asia oil	1784122512
2003	Asia oil	1851184704
2004	Asia oil	1997949888
2005	Asia oil	1992292672
2006	Asia oil	2012719472
2007	Asia oil	2086860512
2008	Asia oil	2185348832
2009	Asia oil	2284929024
2010	Asia oil	2410065616
2011	Asia oil	2431723520
2012	Asia oil	2511184688
2013	Asia oil	2640875632
2014	Asia oil	2752924416
1951	Europe oil	1103721376
1952	Europe oil	1092205424
1953	Europe oil	1093286304
1954	Europe oil	1136752336
1955	Europe oil	1204125968
1956	Europe oil	1264362128
1957	Europe oil	1290790560
1958	Europe oil	1262526464
1959	Europe oil	1247566352
1960	Europe oil	1315768048
1961	Europe oil	1348791680
1962	Europe oil	1409936512
1963	Europe oil	1481791216
1964	Europe oil	1488866400
1965	Europe oil	1507710352
1966	Europe oil	1507028848
1967	Europe oil	1526173248
1968	Europe oil	1573530448
1969	Europe oil	1631919952
1970	Europe oil	1691943600
1971	Europe oil	1713597840
1972	Europe oil	1729536240
1973	Europe oil	1826082640
1974	Europe oil	1879870160
1975	Europe oil	1947357376
1976	Europe oil	2016790176
1977	Europe oil	2065275888
1978	Europe oil	2155992864
1979	Europe oil	2221974176
1980	Europe oil	2240693552
1981	Europe oil	2252282784
1982	Europe oil	2244786240
1983	Europe oil	2241499632
1984	Europe oil	2173451824
1985	Europe oil	2270470880
1986	Europe oil	2255708624
1987	Europe oil	2294983040
1988	Europe oil	2258606848
1989	Europe oil	2266770240
1990	Europe oil	2192270128
1991	Europe oil	2140926496
1992	Europe oil	1746049888
1993	Europe oil	1569045712
1994	Europe oil	1374850048
1995	Europe oil	1331732096
1996	Europe oil	1270173232
1997	Europe oil	1215671232
1998	Europe oil	1215436736
1999	Europe oil	1143200976
2000	Europe oil	1155119968
2001	Europe oil	1170794560
2002	Europe oil	1171703232
2003	Europe oil	1206060560
2004	Europe oil	1217210112
2005	Europe oil	1189851024
2006	Europe oil	1230613024
2007	Europe oil	1226868416
2008	Europe oil	1202315952
2009	Europe oil	1100870784
2010	Europe oil	1112998624
2011	Europe oil	1174330320
2012	Europe oil	1228396304
2013	Europe oil	1161641888
2014	Europe oil	1107066608
1951	Latin America oil	119343808
1952	Latin America oil	124931408
1953	Latin America oil	128042144
1954	Latin America oil	141247200
1955	Latin America oil	158233504
1956	Latin America oil	172255632
1957	Latin America oil	185435040
1958	Latin America oil	179858432
1959	Latin America oil	201380768
1960	Latin America oil	202542256
1961	Latin America oil	207866048
